Constituency No.,Constituency,Candidate No.,Name,Sex,Age,Category,Party,General,Postal,Total
1,NERELA,1,NEEL DAMAN KHATRI,M,43,GEN,BJP,54091,531,54622
1,NERELA,2,VIRENDER,M,38,GEN,BSP,30911,166,31077
1,NERELA,3,JASWANT SINGH,M,60,GEN,INC,26192,119,26311
1,NERELA,4,BALJIT SINGH MANN,M,60,GEN,AAAP,23921,110,24031
1,NERELA,5,RAM GOPAL SHARMA,M,74,GEN,IND,3395,31,3426
1,NERELA,6,None of the Above,N/A,N/A,N/A,NOTA,928,3,931
1,NERELA,7,SANJEEV KUMAR RANA,M,44,GEN,CPI,641,2,643
1,NERELA,8,AJAY MUDGIL,M,29,GEN,IND,631,2,633
1,NERELA,9,MD YAKUB SIDAKI,M,46,GEN,JD(U),518,2,520
1,NERELA,10,AJIT SINGH,M,48,GEN,INLD,479,2,481
1,NERELA,11,ROHTASH,M,62,SC,CPI(ML) (L),337,1,338
1,NERELA,12,AJAY KUMAR,M,27,GEN,SP,284,1,285
1,NERELA,13,SATISH,M,26,GEN,LJP,264,2,266
1,NERELA,14,PRAVESH,M,29,SC,AA S P,209,1,210
1,NERELA,15,SHAMIM,F,65,GEN,PECP,163,0,163
2,BURARI,1,SANJEEV JHA,M,34,GEN,AAAP,59953,211,60164
2,BURARI,2,SHRI KRISHAN,M,56,GEN,BJP,49302,511,49813
2,BURARI,3,DEEPAK TYAGI,M,43,GEN,INC,31430,219,31649
2,BURARI,4,VINOD NAAGAR,M,47,GEN,LJP,6453,9,6462
2,BURARI,5,KAMAL SHARMA,M,44,GEN,BSP,3630,34,3664
2,BURARI,6,SURENDER ROUTELA,M,44,GEN,IND,2689,11,2700
2,BURARI,7,JITENDER KUMAR,M,65,GEN,JD(U),2637,6,2643
2,BURARI,8,None of the Above,N/A,N/A,N/A,NOTA,655,10,665
2,BURARI,9,AJIT KUMAR PANDEY,M,42,GEN,BJDI,556,1,557
2,BURARI,10,AADESH,M,33,GEN,IND,506,0,506
2,BURARI,11,GANESH PAL,M,56,GEN,BSKP,495,1,496
2,BURARI,12,NAFE SINGH RAJPUT,M,39,GEN,IND,369,0,369
2,BURARI,13,VIJAY KUMAR,M,33,GEN,RMEP,351,0,351
2,BURARI,14,MANAGER CHAURASIYA,M,45,GEN,SUCI,323,2,325
2,BURARI,15,PAWAN KUMAR DUGGAL,M,52,GEN,IND,285,0,285
2,BURARI,16,RICHA MUNDRA,F,36,GEN,RDPI,242,1,243
2,BURARI,17,FAKIR CHAND,M,56,GEN,IJP,227,3,230
2,BURARI,18,RAJBIR,M,32,SC,IND,214,0,214
2,BURARI,19,MUNNA,M,42,GEN,IND,210,1,211
2,BURARI,20,PREM SHANKAR SHARMA,M,51,GEN,ABSPAR Pen Stand TY,190,0,190
2,BURARI,21,TOKIR AHMAD KHAN,M,61,GEN,BASPB,184,3,187
2,BURARI,22,GULAB SINGHAL,M,40,GEN,BNIP,172,0,172
2,BURARI,23,DINESH KUMAR,M,30,GEN,BSKRP,136,1,137
2,BURARI,24,DR RAMESH NARAYAN SINGH,M,56,GEN,IND,85,0,85
3,TIMARPUR,1,HARISH KHANNA,M,61,GEN,AAAP,39518,132,39650
3,TIMARPUR,2,RAJNI ABBI,F,51,GEN,BJP,36053,214,36267
3,TIMARPUR,3,SURINDER PAL SINGH,M,53,GEN,INC,32692,133,32825
3,TIMARPUR,4,PREM WADHWA,M,56,GEN,BSP,1404,10,1414
3,TIMARPUR,5,None of the Above,N/A,N/A,N/A,NOTA,761,7,768
3,TIMARPUR,6,BAJINDER SINGH,M,27,GEN,CPI,635,2,637
3,TIMARPUR,7,CHAND MIYA,M,25,GEN,IND,574,1,575
3,TIMARPUR,8,ANIL KUMAR,M,36,GEN,SP,348,1,349
3,TIMARPUR,9,HARBILAS,M,63,SC,IJP,223,3,226
3,TIMARPUR,10,VIRENDRA KUMAR,M,35,GEN,IND,179,0,179
3,TIMARPUR,11,JAGANNATH,M,64,SC,BJDI,172,1,173
3,TIMARPUR,12,VIDYANAND BHAGAT,M,41,GEN,RVNP,70,0,70
3,TIMARPUR,13,MOHD. YAMIN,M,41,GEN,PECP,51,0,51
4,ADARSH NAGAR,1,RAM KISHAN SINGHAL,M,62,GEN,BJP,36543,222,36765
4,ADARSH NAGAR,2,JAGDEEP RANA,M,27,GEN,AAAP,26755,87,26842
4,ADARSH NAGAR,3,MANGAT RAM,M,71,GEN,INC,25379,88,25467
4,ADARSH NAGAR,4,ASHWANI AHUJA,M,52,GEN,BSP,5635,5,5640
4,ADARSH NAGAR,5,None of the Above,N/A,N/A,N/A,NOTA,761,8,769
4,ADARSH NAGAR,6,ARCHANA SINGH,F,33,GEN,LJP,284,0,284
4,ADARSH NAGAR,7,BALRAM MANDAL,M,31,GEN,IDP,259,0,259
4,ADARSH NAGAR,8,ANIL NAGPAL,M,47,GEN,IND,248,2,250
4,ADARSH NAGAR,9,DEEPAK KUMAR,M,35,GEN,IND,232,0,232
4,ADARSH NAGAR,10,KEDAR PRASAD,M,38,GEN,PHRC,193,2,195
5,BADLI,1,DEVENDER YADAV,M,41,GEN,INC,54207,165,54372
5,BADLI,2,VIJAY KUMAR BHAGAT,M,48,GEN,BJP,31151,112,31263
5,BADLI,3,MOHAN KRISHAN,M,51,GEN,AAAP,31025,73,31098
5,BADLI,4,MUNAWWAR HASSAN,M,38,GEN,BSP,2118,7,2125
5,BADLI,5,None of the Above,N/A,N/A,N/A,NOTA,975,3,978
5,BADLI,6,MAHESH SAHU,M,55,GEN,JD(U),615,0,615
5,BADLI,7,MOHAN JHA,M,38,GEN,IND,417,1,418
5,BADLI,8,PUNEET MANDAL,M,36,GEN,HND,274,0,274
